speech_recognition,start,end,max_confidence,mean_confidence,recognized_text
speech,87.25,88.25,0.9958935976028442,0.9877251386642456,the early visualize
speech,88.25,89.25,1.0,0.9999944567680359,there's the expected
speech,89.25,90.25,0.9999954700469971,0.9998393058776855,come by the use
speech,90.25,91.25,0.9650830626487732,0.9404650926589966,it is
speech,91.25,92.25,1.0,1.0,the product owner
speech,92.25,93.25,1.0,1.0,the major early into
speech,93.25,94.25,0.9999998807907104,0.9999973773956299,racks and collapse
speech,94.25,95.25,1.0,1.0,it's with the users
speech,95.25,96.25,0.998815655708313,0.9947198629379272,to understand
speech,96.25,97.25,0.9907823204994202,0.9760794043540955,their requirements
speech,97.25,98.25,0.9971486926078796,0.992845356464386,thus it is
speech,98.25,99.25,0.9999954700469971,0.999930202960968,really important
speech,99.25,100.25,1.0,1.0,translate that
speech,100.25,101.25,0.9999662637710571,0.9996439218521118,in a form of
speech,101.25,102.25,0.9999774694442749,0.9996175169944763,vision to the
speech,102.25,103.25,0.9487075805664062,0.9273253083229065,him
speech,103.25,104.25,1.0,1.0,so it is
speech,104.25,105.25,0.9996905326843262,0.9980722069740295,cool a significant
speech,105.25,106.25,0.9983696341514587,0.9951692819595337,to communicate
speech,106.25,107.25,0.9618546962738037,0.9330907464027405,there's and and goals
speech,107.25,108.25,1.0,1.0,to the stakeholders
speech,108.25,109.25,0.9651610255241394,0.9409961700439453,so that every
speech,109.25,110.25,0.9999514818191528,0.9991030693054199,one talks the same
speech,110.25,111.25,0.9999607801437378,0.9994518756866455,language and
speech,111.25,112.25,0.9999988079071045,0.9999826550483704,the an identical
speech,112.25,113.25,1.0,1.0,they're standing of the
speech,113.25,114.25,0.9984729886054993,0.9904411435127258,come to
speech,114.25,115.25,1.0,1.0,make sure every hour
speech,115.25,116.25,0.9999849796295166,0.9995620250701904,i'm from the goal is
speech,116.25,117.25,0.9997960925102234,0.9977984428405762,lying to the best
speech,117.25,118.25,0.9999531507492065,0.999644935131073,this objectives
speech,118.25,119.25,0.9380252957344055,0.9116044044494629,the product own
speech,119.25,120.25,0.985302209854126,0.9557431936264038,there should create a
speech,120.25,121.25,0.9787803888320923,0.9582635760307312,the road map
speech,121.25,122.25,0.947010338306427,0.9260478019714355,which is a high
speech,122.25,123.25,0.7737412452697754,0.7437312602996826,the tactical
speech,123.25,124.25,0.9934919476509094,0.9847596883773804,graphical some
speech,124.25,125.25,0.9628458023071289,0.9461627006530762,murray that shape
speech,125.25,126.25,0.9928394556045532,0.9856780767440796,the vision and
speech,126.25,127.25,0.9346809387207031,0.8967053890228271,action for the
speech,127.25,128.25,0.7816258072853088,0.6578677296638489,that
speech,128.25,129.25,0.9675250053405762,0.9370995163917542,managing
speech,129.25,130.25,1.0,1.0,product backlog
speech,130.25,131.25,0.8423662781715393,0.7908486723899841,the most
speech,131.25,132.25,1.0,1.0,the essential worse
speech,132.25,133.25,0.9999997615814209,0.9999781250953674,it's ability in the
speech,133.25,134.25,0.9687145948410034,0.9563140869140625,the manager
speech,134.25,135.25,0.9864851236343384,0.970686137676239,this is managing
speech,135.25,136.25,0.9999871253967285,0.9998604655265808,the product back
speech,136.25,137.25,0.7574464678764343,0.7156744599342346,today
speech,137.25,138.25,1.0,1.0,the market is really
speech,138.25,139.25,1.0,1.0,dynamic
speech,139.25,140.25,0.9904633164405823,0.9791542887687683,the items in the
speech,140.25,141.25,1.0,0.9999997019767761,product backlog
speech,141.25,142.25,1.0,1.0,require some
speech,142.25,143.25,1.0,0.9999988079071045,mintz do to change
speech,143.25,144.25,1.0,1.0,jean priorities
speech,144.25,145.25,0.983854353427887,0.9552784562110901,it's
speech,145.25,146.25,0.9999998807907104,0.9999748468399048,product owners
speech,146.25,147.25,1.0,1.0,responsibility
speech,147.25,148.25,1.0,1.0,build a staff
speech,148.25,149.25,1.0,0.9999997019767761,the items in the back
speech,149.25,150.25,0.9127362966537476,0.8860285878181458,clark and
speech,150.25,151.25,1.0,1.0,your tires them
speech,151.25,152.25,1.0,1.0,as per the best
speech,152.25,153.25,0.9999686479568481,0.9995677471160889,scholes
speech,154.25,155.25,0.8910152316093445,0.8341012001037598,the product
speech,155.25,156.25,1.0,0.9999951124191284,backlog is a day
speech,156.25,157.25,1.0,1.0,then that list of i
speech,157.25,158.25,1.0,1.0,what should be free
speech,158.25,159.25,1.0,1.0,lee updated
speech,159.25,160.25,0.9999997615814209,0.999983549118042,based on changing
speech,160.25,161.25,1.0,1.0,project requirement
speech,161.25,162.25,1.0,1.0,the all the way through the
speech,162.25,163.25,0.9999891519546509,0.999636173248291,that meant
speech,163.25,164.25,0.9991922974586487,0.9966373443603516,prioritize
speech,164.25,165.25,0.9928708672523499,0.9840816259384155,the needs
speech,165.25,166.25,0.9978594183921814,0.9919347167015076,the product
speech,166.25,167.25,1.0,1.0,winner has to pray
speech,167.25,168.25,1.0,1.0,a ties the proud
speech,168.25,169.25,1.0,1.0,the backlog item
speech,169.25,170.25,0.9998829364776611,0.9990551471710205,in a away
speech,170.25,171.25,0.9912176132202148,0.977630078792572,that they deliver
speech,171.25,172.25,1.0,1.0,the maximum
speech,172.25,173.25,0.839536726474762,0.792564868927002,come
speech,173.25,174.25,1.0,1.0,we live in a world where
speech,174.25,175.25,1.0,1.0,help as readily
speech,175.25,176.25,1.0,1.0,available and term
speech,176.25,177.25,1.0,1.0,that's awesome tools
speech,177.25,178.25,0.9990405440330505,0.9969140887260437,hence their
speech,178.25,179.25,1.0,1.0,the heaps of tools
speech,179.25,180.25,1.0,0.9999994039535522,help product owner
speech,180.25,181.25,0.9994603991508484,0.9970617890357971,the do this
speech,181.25,182.25,0.9112629294395447,0.8566669225692749,the product
speech,182.25,183.25,1.0,1.0,owner is required
speech,183.25,184.25,1.0,1.0,to have the back
speech,184.25,185.25,1.0,1.0,sequenced
speech,185.25,186.25,0.9995371103286743,0.9980217218399048,prior to the sprint
speech,186.25,187.25,0.9561384320259094,0.9348436594009399,planning meeting
speech,187.25,188.25,0.9923067688941956,0.9786409139633179,this means
speech,188.25,189.25,0.9998018145561218,0.9985454678535461,each user's
speech,189.25,190.25,1.0,1.0,worry must be
speech,190.25,191.25,0.9871075749397278,0.9694502949714661,after by relative
speech,191.25,192.25,0.9996742010116577,0.9974561929702759,the importance
speech,193.25,194.25,0.9631691575050354,0.9390266537666321,ver si defense
speech,194.25,195.25,1.0,0.9999997019767761,that means stages
speech,195.25,196.25,0.9739563465118408,0.934257447719574,once
speech,196.25,197.25,1.0,1.0,the have the basic and
speech,197.25,198.25,0.9980712532997131,0.9921450614929199,tsm place
speech,198.25,199.25,0.9968146681785583,0.9934301972389221,vision called
speech,199.25,200.25,0.9929932951927185,0.9788110256195068,the backlog and
speech,200.25,201.25,1.0,1.0,the prioritization
speech,201.25,202.25,0.922456681728363,0.9043636322021484,the problem
speech,202.25,203.25,0.9999998807907104,0.9999953508377075,the owner has to make
speech,203.25,204.25,1.0,0.9999997019767761,sure that he or she
speech,204.25,205.25,0.9999997615814209,0.9999943375587463,is participating
speech,205.25,206.25,0.932346761226654,0.9156984686851501,in the overall the
speech,206.25,207.25,1.0,0.9999994039535522,that meant stages
speech,207.25,208.25,0.9999982118606567,0.9998956322669983,the product
speech,208.25,209.25,0.9717527627944946,0.9521167278289795,
speech,209.25,210.25,1.0,0.9999994039535522,their product owner
speech,210.25,211.25,0.9875024557113647,0.969920814037323,to get clarity
speech,211.25,212.25,0.9999940395355225,0.9998496174812317,the feel queries
speech,212.25,213.25,1.0,1.0,my mind as
speech,213.25,214.25,1.0,0.9999983906745911,
speech,214.25,215.25,0.9985600113868713,0.9937869310379028,the item
speech,215.25,216.25,0.9585931897163391,0.9430162906646729,the product
speech,216.25,217.25,1.0,1.0,there will participate
speech,217.25,218.25,0.9999973773956299,0.9999651908874512,in the ceremonies
speech,218.25,219.25,0.9937323927879333,0.9870579242706299,with the team in
speech,219.25,220.25,1.0,1.0,some ceremonies
speech,220.25,221.25,0.9999817609786987,0.9998844861984253,this role can be
speech,221.25,222.25,0.9995730519294739,0.9962574243545532,active such as
speech,222.25,223.25,0.989095151424408,0.976142406463623,planning or back
speech,223.25,224.25,0.9999736547470093,0.999441385269165,lol grooming
speech,224.25,225.25,0.9989330172538757,0.9964753985404968,the can be passive
speech,225.25,226.25,1.0,1.0,the or inactive
speech,226.25,227.25,1.0,1.0,such as in the daily
speech,227.25,228.25,0.9981510043144226,0.9901590943336487,graham
speech,228.25,229.25,0.9648904204368591,0.9347917437553406,evaluate
speech,229.25,230.25,0.9169346690177917,0.8951291441917419,product private
speech,230.25,231.25,0.9999936819076538,0.9998022317886353,this at each it
speech,231.25,232.25,0.998472273349762,0.9916629195213318,nation
speech,232.25,233.25,0.9495840072631836,0.9213840961456299,the product
speech,233.25,234.25,0.9983617663383484,0.9942308068275452,make sure that
speech,234.25,235.25,0.9120551347732544,0.8688722252845764,development work
speech,235.25,236.25,1.0,1.0,upon the priority
speech,236.25,237.25,0.9831047654151917,0.965406060218811,these and mana
speech,237.25,238.25,0.9999957084655762,0.9998645186424255,there's the progress
speech,238.25,239.25,1.0,0.9999997019767761,the items over
speech,239.25,240.25,1.0,1.0,the course of a sprint
speech,240.25,241.25,0.8711322546005249,0.8167822957038879,what
speech,241.25,242.25,0.9999579191207886,0.9995858073234558,that is either
speech,242.25,243.25,0.9951034784317017,0.981568455696106,complete or
speech,243.25,244.25,0.9999986886978149,0.9999180436134338,i'm done
speech,244.25,245.25,0.9961712956428528,0.9884823560714722,needs to be real
speech,245.25,246.25,1.0,1.0,the or ties or
speech,246.25,247.25,1.0,0.9999988079071045,sequenced
speech,247.25,248.25,0.9832342863082886,0.9632723331451416,the product
speech,248.25,249.25,1.0,1.0,make sure that the
speech,249.25,250.25,1.0,1.0,they'll allotment delivers
speech,250.25,251.25,1.0,1.0,the expected out
speech,251.25,252.25,0.9999436140060425,0.9993709325790405,comes from the story
speech,252.25,253.25,1.0,1.0,they worked upon
speech,253.25,254.25,1.0,1.0,the accepts it
speech,254.25,255.25,0.9540637135505676,0.9083526730537415,so these
speech,255.25,256.25,0.9998449087142944,0.9985463619232178,some of the many
speech,256.25,257.25,1.0,1.0,responsibilities
speech,257.25,258.25,1.0,1.0,scrum product
speech,258.25,259.25,1.0,0.999991774559021,they're takes
speech,259.25,260.25,0.9999995231628418,0.9999880194664001,we hope this video
speech,260.25,261.25,1.0,1.0,helped you understand
speech,261.25,262.25,1.0,1.0,the who a scrum
speech,262.25,263.25,0.999990701675415,0.9997000694274902,the donor is
speech,263.25,264.25,1.0,1.0,don't forget to
speech,264.25,265.25,1.0,1.0,described to our channel
speech,265.25,266.25,1.0,1.0,for more videos
speech,266.25,267.25,0.9899570345878601,0.9776749610900879,and visit our
speech,267.25,268.25,1.0,1.0,site for all the
speech,268.25,269.25,1.0,1.0,scrum related
speech,269.25,270.25,1.0,0.9999991059303284,sources
